Variable / Field Name,Form Name,Section Header,Field Type,Field Label,"Choices, Calculations, OR Slider Labels",Field Note,Text Validation Type OR Show Slider Number,Text Validation Min,Text Validation Max,Identifier?,Branching Logic (Show field only if...),Required Field?,Custom Alignment,Question Number (surveys only),Matrix Group Name,Matrix Ranking?,Field Annotation
md_eqt_cp_cp_man_10,hfa_neonatal_equipment_and_supplies_clinical_compe,,text,Who is the manufacturer of CPAP driver system 10?,,,,,,,[md_eqt_cp_cp_avl] >= 10,,,,,,
md_eqt_cp_cp_mod_10,hfa_neonatal_equipment_and_supplies_clinical_compe,,text,What is the model name of CPAP driver system 10?,,,,,,,[md_eqt_cp_cp_avl] >= 10,,,,,,
md_eqt_cp_hmicp_hed,hfa_neonatal_equipment_and_supplies_clinical_compe,,descriptive,"<div style=""background-color:#fbd0c1;padding:10px"">Improvised or Homemade CPAP</div>",,,,,,,[md_eqt_cp_hmicp(1)] = '1' or [md_eqt_cp_hmicp(2)] = '1',,,,,,
md_eqt_cp_icp_avl,hfa_neonatal_equipment_and_supplies_clinical_compe,,text,How many improvised CPAP systems are there?,,,integer,-1,50,,[md_eqt_cp_hmicp(1)] = '1',,,,,,
md_eqt_cp_icp_fc,hfa_neonatal_equipment_and_supplies_clinical_compe,,text,How many improvised CPAP systems are functional?,,,integer,-1,50,,[md_eqt_cp_hmicp(1)] = '1',,,,,,
md_eqt_cp_hmcp_avl,hfa_neonatal_equipment_and_supplies_clinical_compe,,text,How many homemade CPAP systems are there?,,,integer,-1,50,,[md_eqt_cp_hmicp(2)] = '1',,,,,,
md_eqt_cp_hmcp_fc,hfa_neonatal_equipment_and_supplies_clinical_compe,,text,How many homemade CPAP systems are functional?,,,integer,-1,50,,[md_eqt_cp_hmicp(2)] = '1',,,,,,
md_eqt_cp_hmicp_blen,hfa_neonatal_equipment_and_supplies_clinical_compe,,yesno,Do you have blender capability for your improvised and/or homemade CPAP?,,,,,,,[md_eqt_cp_hmicp(1)] = '1' or [md_eqt_cp_hmicp(2)] = '1',,,,,,
md_eqt_mv_hed,hfa_neonatal_equipment_and_supplies_clinical_compe,,descriptive,"<div style=""background-color:#82cdbf;padding:10px"">Mechanical Ventilation Equipment and Supplies</div>",,,,,,,,,,,,,
md_eqt_mv_vent,hfa_neonatal_equipment_and_supplies_clinical_compe,,radio,Respirator/ventilators plus accessories*,"1, Available today and no stockout in last 4 weeks | 3, Available today, but stockout in last 4 weeks | 0, Not available today",,,,,,,y,,,md_eqt_mv,,
md_eqt_mv_xray,hfa_neonatal_equipment_and_supplies_clinical_compe,,radio,Portable x-ray (may be shared with other units)*,"1, Available today and no stockout in last 4 weeks | 3, Available today, but stockout in last 4 weeks | 0, Not available today",,,,,,,y,,,md_eqt_mv,,
md_eqt_mv_istat,hfa_neonatal_equipment_and_supplies_clinical_compe,,radio,Hand-held blood gas analyzer (e.g. iSTAT machine)*,"1, Available today and no stockout in last 4 weeks | 3, Available today, but stockout in last 4 weeks | 0, Not available today",,,,,,,y,,,md_eqt_mv,,
md_eqt_mv_istatcons,hfa_neonatal_equipment_and_supplies_clinical_compe,,radio,"Cartridges for hand-held blood gas analyzer (e.g. iSTAT, match gas analyzer)  ","1, Available today and no stockout in last 4 weeks | 3, Available today, but stockout in last 4 weeks | 0, Not available today",,,,,,,y,,,md_eqt_mv,,
md_eqt_mv_lryn,hfa_neonatal_equipment_and_supplies_clinical_compe,,radio,"Infant laryngoscope (size 0 or 1, straight blades)*","1, Available today and no stockout in last 4 weeks | 3, Available today, but stockout in last 4 weeks | 0, Not available today",,,,,,,y,,,md_eqt_mv,,
md_eqt_mv_lrynlght,hfa_neonatal_equipment_and_supplies_clinical_compe,,radio,Laryngoscope light bulb (spare),"1, Available today and no stockout in last 4 weeks | 3, Available today, but stockout in last 4 weeks | 0, Not available today",,,,,,,y,,,md_eqt_mv,,
md_eqt_mv_ilum,hfa_neonatal_equipment_and_supplies_clinical_compe,,radio,Transilluminators*,"1, Available today and no stockout in last 4 weeks | 3, Available today, but stockout in last 4 weeks | 0, Not available today",,,,,,,y,,,md_eqt_mv,,
md_eqt_mv_drain,hfa_neonatal_equipment_and_supplies_clinical_compe,,radio,Chest drain set,"1, Available today and no stockout in last 4 weeks | 3, Available today, but stockout in last 4 weeks | 0, Not available today",,,,,,,y,,,md_eqt_mv,,
md_eqt_mv_tub,hfa_neonatal_equipment_and_supplies_clinical_compe,,radio,Drainage tubing and under water seal drainage bottle plus accessories,"1, Available today and no stockout in last 4 weeks | 3, Available today, but stockout in last 4 weeks | 0, Not available today",,,,,,,y,,,md_eqt_mv,,
md_eqt_mv_co2,hfa_neonatal_equipment_and_supplies_clinical_compe,,radio,CO<sub>2</sub> detector (capnometer)*,"1, Available today and no stockout in last 4 weeks | 3, Available today, but stockout in last 4 weeks | 0, Not available today",,,,,,,y,,,md_eqt_mv,,
md_eqt_mv_vent_hed,hfa_neonatal_equipment_and_supplies_clinical_compe,,descriptive,"<div style=""background-color:#fbd0c1;padding:10px"">Respirator/Ventilators Plus Accessories</div>",,,,,,,[md_eqt_mv_vent] >= 1,,,,,,
md_eqt_mv_vent_avl,hfa_neonatal_equipment_and_supplies_clinical_compe,,text,How many respirator/ventilators plus accessories are there?,,,integer,-1,50,,[md_eqt_mv_vent] >= 1,,,,,,
md_eqt_mv_vent_fc,hfa_neonatal_equipment_and_supplies_clinical_compe,,text,How many respirator/ventilators plus accessories are functional?,,,integer,-1,50,,[md_eqt_mv_vent_avl] >= 1,,,,,,
md_eqt_mv_vent_man_1,hfa_neonatal_equipment_and_supplies_clinical_compe,,text,Who is the manufacturer of respirator/ventilator 1 plus accessories?,,,,,,,[md_eqt_mv_vent_avl] >= 1,,,,,,
md_eqt_mv_vent_mod_1,hfa_neonatal_equipment_and_supplies_clinical_compe,,text,What is the model name of respirator/ventilator 1 plus accessories?,,,,,,,[md_eqt_mv_vent_avl] >= 1,,,,,,
md_eqt_mv_vent_man_2,hfa_neonatal_equipment_and_supplies_clinical_compe,,text,Who is the manufacturer of respirator/ventilator 2 plus accessories?,,,,,,,[md_eqt_mv_vent_avl] >= 2,,,,,,
md_eqt_mv_vent_mod_2,hfa_neonatal_equipment_and_supplies_clinical_compe,,text,What is the model name of respirator/ventilator 2 plus accessories?,,,,,,,[md_eqt_mv_vent_avl] >= 2,,,,,,
md_eqt_mv_vent_man_3,hfa_neonatal_equipment_and_supplies_clinical_compe,,text,Who is the manufacturer of respirator/ventilator 3 plus accessories?,,,,,,,[md_eqt_mv_vent_avl] >= 3,,,,,,
md_eqt_mv_vent_mod_3,hfa_neonatal_equipment_and_supplies_clinical_compe,,text,What is the model name of respirator/ventilator 3 plus accessories?,,,,,,,[md_eqt_mv_vent_avl] >= 3,,,,,,
md_eqt_mv_vent_man_4,hfa_neonatal_equipment_and_supplies_clinical_compe,,text,Who is the manufacturer of respirator/ventilator 4 plus accessories?,,,,,,,[md_eqt_mv_vent_avl] >= 4,,,,,,
md_eqt_mv_vent_mod_4,hfa_neonatal_equipment_and_supplies_clinical_compe,,text,What is the model name of respirator/ventilator 4 plus accessories?,,,,,,,[md_eqt_mv_vent_avl] >= 4,,,,,,
md_eqt_mv_vent_man_5,hfa_neonatal_equipment_and_supplies_clinical_compe,,text,Who is the manufacturer of respirator/ventilator 5 plus accessories?,,,,,,,[md_eqt_mv_vent_avl] >= 5,,,,,,
md_eqt_mv_vent_mod_5,hfa_neonatal_equipment_and_supplies_clinical_compe,,text,What is the model name of respirator/ventilator 5 plus accessories?,,,,,,,[md_eqt_mv_vent_avl] >= 5,,,,,,
md_eqt_mv_vent_man_6,hfa_neonatal_equipment_and_supplies_clinical_compe,,text,Who is the manufacturer of respirator/ventilator 6 plus accessories?,,,,,,,[md_eqt_mv_vent_avl] >= 6,,,,,,
md_eqt_mv_vent_mod_6,hfa_neonatal_equipment_and_supplies_clinical_compe,,text,What is the model name of respirator/ventilator 6 plus accessories?,,,,,,,[md_eqt_mv_vent_avl] >= 6,,,,,,
md_eqt_mv_vent_man_7,hfa_neonatal_equipment_and_supplies_clinical_compe,,text,Who is the manufacturer of respirator/ventilator 7 plus accessories?,,,,,,,[md_eqt_mv_vent_avl] >= 7,,,,,,
md_eqt_mv_vent_mod_7,hfa_neonatal_equipment_and_supplies_clinical_compe,,text,What is the model name of respirator/ventilator 7 plus accessories?,,,,,,,[md_eqt_mv_vent_avl] >= 7,,,,,,
md_eqt_mv_vent_man_8,hfa_neonatal_equipment_and_supplies_clinical_compe,,text,Who is the manufacturer of respirator/ventilator 8 plus accessories?,,,,,,,[md_eqt_mv_vent_avl] >= 8,,,,,,
md_eqt_mv_vent_mod_8,hfa_neonatal_equipment_and_supplies_clinical_compe,,text,What is the model name of respirator/ventilator 8 plus accessories?,,,,,,,[md_eqt_mv_vent_avl] >= 8,,,,,,
md_eqt_mv_vent_man_9,hfa_neonatal_equipment_and_supplies_clinical_compe,,text,Who is the manufacturer of respirator/ventilator 9 plus accessories?,,,,,,,[md_eqt_mv_vent_avl] >= 9,,,,,,
md_eqt_mv_vent_mod_9,hfa_neonatal_equipment_and_supplies_clinical_compe,,text,What is the model name of respirator/ventilator 9 plus accessories?,,,,,,,[md_eqt_mv_vent_avl] >= 9,,,,,,
md_eqt_mv_vent_man_10,hfa_neonatal_equipment_and_supplies_clinical_compe,,text,Who is the manufacturer of respirator/ventilator 10 plus accessories?,,,,,,,[md_eqt_mv_vent_avl] >= 10,,,,,,
md_eqt_mv_vent_mod_10,hfa_neonatal_equipment_and_supplies_clinical_compe,,text,What is the model name of respirator/ventilator 10 plus accessories?,,,,,,,[md_eqt_mv_vent_avl] >= 10,,,,,,
md_eqt_mv_xray_hed,hfa_neonatal_equipment_and_supplies_clinical_compe,,descriptive,"<div style=""background-color:#fbd0c1;padding:10px"">Portable x-ray</div>",,,,,,,[md_eqt_mv_xray] >= 1,,,,,,
md_eqt_mv_xray_avl,hfa_neonatal_equipment_and_supplies_clinical_compe,,text,How many portable x-rays are there?,,,integer,-1,50,,[md_eqt_mv_xray] >= 1,,,,,,
