Variable / Field Name,Form Name,Section Header,Field Type,Field Label,"Choices, Calculations, OR Slider Labels",Field Note,Text Validation Type OR Show Slider Number,Text Validation Min,Text Validation Max,Identifier?,Branching Logic (Show field only if...),Required Field?,Custom Alignment,Question Number (surveys only),Matrix Group Name,Matrix Ranking?,Field Annotation
gv_fin_yr,hfa_financing_reports,,yesno,Do you have an annual budget of the likely costs the health facility will face over the next year?,,,,,,,,y,,,,,
gv_fin_nu,hfa_financing_reports,,yesno,Is there a line item on the budget for newborn care?,,This could be a hospital budget or district or other sub-national unit health budget.,,,,,,y,,,,,
gv_fin_ws,hfa_financing_reports,,yesno,Is there a line item on the budget for the biomed department?,,This could be a hospital budget or district or other sub-national unit health budget.,,,,,,y,,,,,
gv_fin_hed_4,hfa_financing_reports,,descriptive,"<div style=""background-color:#82cdbf; padding:5px""></div>",,,,,,,,,,,,,
gv_fin_com,hfa_financing_reports,,notes,Comments:,,,,,,,,,,,,,
gv_hr_hed_1,hfa_staff_absenteeism_and_performance_review,,descriptive,"<div style=""background-color:#82cdbf; padding:5px""></div>",,,,,,,,,,,,,
gv_hr_ban_1,hfa_staff_absenteeism_and_performance_review,,descriptive,,,,,,,,,,,,,,
gv_hr_hed_2,hfa_staff_absenteeism_and_performance_review,,descriptive,"<div class=""h4"" style=""background-color:#82cdbf;padding:10px"">Staff Absenteeism and Performance Review</div>",,,,,,,,,,,,,
gv_hr_ins_1,hfa_staff_absenteeism_and_performance_review,,descriptive,"<p style=""font-weight:normal""><i><b>Instructions:</b> Direct these questions to the hospital administrator. For some questions, you will need to ask and observe the staff or specific items/spaces at the facility. Please do not leave any variable blank. If a free text variable is unknown and an answer is required, write ""-1"" for numeric fields and ""unknown"" for text fields.<br>
<b>Prompt:</b> “I'd like to ask you a few questions on staff absenteeism and performance review.”
</p>",,,,,,,,,,,,,
gv_hr_hed_3,hfa_staff_absenteeism_and_performance_review,,descriptive,"<div style=""background-color:#82cdbf; padding:5px"">Staff Absenteeism</div>",,,,,,,,,,,,,
gv_hr_doc,hfa_staff_absenteeism_and_performance_review,,radio,Does the hospital have a system of documenting when clinical staff are absent from work?,"1, Absenteeism is formally recorded and senior managers are notified | 2, Absenteeism is formally recorded at the ward level only | 3, Absenteeism system is informal | 0, No system",,,,,,,y,,,,,
